"phase title","phase see","pattern title","pattern see","rule title","rule context","generate context test","let name","let value","assert test","assert description","assert severity","notes"
"Facility Description","ASHRAE 211 6.1.1 and 6.2.1.1","Misc Building Info","ASHRAE 211 6.1.1.1, 6.1.1.2, and 6.2.1.1","Basic Building Info","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building","true","","","auc:PremisesName","","ERROR",""
"","","","","","","","","","auc:Address/auc:City","","ERROR",""
"","","","","","","","","","auc:Address/auc:State","","ERROR",""
"","","","","","","","","","auc:Address/auc:PostalCode","","ERROR",""
"","","","","","","","","","auc:Address/auc:StreetAddressDetail/auc:Simplified/auc:StreetAddress","","ERROR",""
"","","","","","","","","","auc:FloorsAboveGrade","","ERROR",""
"","","","","","","","","","auc:FloorsBelowGrade","","ERROR",""
"","","","","","","","","","auc:ConditionedFloorsAboveGrade","","ERROR",""
"","","","","","","","","","auc:ConditionedFloorsBelowGrade","","ERROR",""
"","","","","","","","","","auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Gross']/auc:FloorAreaValue","","ERROR",""
"","","","","","","","","","auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Conditioned']/auc:FloorAreaValue","","ERROR",""
"","","","","","","","","","auc:BuildingClassification","","ERROR",""
"","","","","","","","","","auc:OccupancyClassification","","ERROR",""
"","","","","","","","","","auc:YearOfConstruction","","ERROR",""
"","","","","","","","","","auc:YearOfLastMajorRemodel","","WARNING",""
"","","","","","","","","","auc:YearOfLastEnergyAudit","","WARNING",""
"","","","","","","","","","auc:RetrocommissioningDate","","WARNING",""
"","","","","","","","buildingDoesNotHaveResidents","auc:BuildingClassification/text() != 'Mixed use commercial' and auc:BuildingClassification/text() != 'Residential'","$buildingDoesNotHaveResidents or auc:SpatialUnits/auc:SpatialUnit[auc:SpatialUnitType/text() = 'Apartment units']/auc:NumberOfUnits","If BuildingClassification implies residents (Mixed use commercial or Residential), number of apartments units must be defined at auc:SpatialUnits/auc:SpatialUnit[auc:SpatialUnitType = 'Apartment units']/auc:NumberOfUnits.","ERROR",""
"","","","","","","","","","$buildingDoesNotHaveResidents or auc:SpatialUnits/auc:SpatialUnit[auc:SpatialUnitType/text() = 'Apartment units']/auc:SpatialUnitOccupiedPercentage","If BuildingClassification implies residents (Mixed use commercial or Residential), the percentage occupied must be defined at auc:SpatialUnits/auc:SpatialUnit[auc:SpatialUnitType = 'Apartment units']/auc:SpatialUnitOccupiedPercentage.","ERROR",""
"","","","","","","","","","auc:PremisesNotes","Premises Notes should exist and it should include requirements specified by ASHRAE 211 sections 6.1.1.1.m, 6.1.1.2.a, 6.1.1.2.c, 6.1.1.2.d and 6.1.1.2.e
","ERROR",""
"","","","","","","","","","auc:HistoricalLandmark","","ERROR",""
"","","","","","","","","","auc:PrimaryContactID[@IDref = //auc:Contacts/auc:Contact/@ID]","auc:PrimaryContactID should be linked to an auc:Contact's ID","ERROR",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report","true","","","auc:AuditorContactID[@IDref = //auc:Contacts/auc:Contact/@ID]","auc:AuditorContactID should be linked to an auc:Contact's ID","ERROR",""
"","","","","Floor Areas","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = ""Gross""]/auc:ExcludedSectionIDs","true","","","count(auc:ExcludedSectionID) > 0","No floor areas have been excluded","WARNING",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = ""Conditioned""]/auc:ExcludedSectionIDs","true","","","count(auc:ExcludedSectionID) > 0","No floor areas have been excluded","WARNING",""
"","","","","","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = ""Gross"" or auc:FloorAreaType/text() = ""Conditioned""]/auc:ExcludedSectionIDs/auc:ExcludedSectionID","false","","","//auc:Sections/auc:Section[@ID = current()/@IDref]","ExcludedSectionID should point to a valid Section's ID","ERROR",""
"","","Contact Information","ASHRAE 211 6.1.1.1.b and 6.1.1.1.c","Client Contact Information","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Contacts/auc:Contact[auc:ContactRoles/auc:ContactRole/text() = 'Owner']","true","","","auc:ContactName","","ERROR",""
"","","","","","","","","","auc:ContactTelephoneNumbers/auc:ContactTelephoneNumber/auc:TelephoneNumber","","WARNING",""
"","","","","","","","","","auc:ContactEmailAddresses/auc:ContactEmailAddress/auc:EmailAddress","","WARNING",""
"","","","","Auditor Contact Information","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Contacts/auc:Contact[auc:ContactRoles/auc:ContactRole/text() = 'Energy Auditor']","true","","","auc:ContactName","","ERROR",""
"","","","","","","","","","auc:ContactTelephoneNumbers/auc:ContactTelephoneNumber/auc:TelephoneNumber","","WARNING",""
