"phase title","phase see","pattern title","pattern see","rule title","rule context","generate context test","let name","let value","assert test","assert description","assert severity","notes"
"Building Information","ASHRAE 211 6.1.1 and BSync-gem","Basic Building Info","","Basic Building Info","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building","true","","","auc:PremisesName","","ERROR",""
"","","","","","","","","","auc:Address or auc:ClimateZoneType or auc:WeatherDataStationID or (auc:Latitude and auc:Longitude)","","ERROR",""
"","","","","","","","","","auc:FloorsAboveGrade","","ERROR",""
"","","","","","","","","","auc:FloorsBelowGrade","","ERROR",""
"","","","","","","","","","auc:ConditionedFloorsAboveGrade","","ERROR",""
"","","","","","","","","","auc:ConditionedFloorsBelowGrade","","ERROR",""
"","","","","","","","","","auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Gross']/auc:FloorAreaValue","","ERROR",""
"","","","","","","","","","auc:BuildingClassification","","ERROR",""
"","","","","","","","","","auc:OccupancyClassification","","ERROR",""
"","","","","","","","","","auc:YearOfConstruction","","ERROR",""
"","","","","Link Building to Baseline","","","","","//auc:Scenarios/auc:Scenario[auc:LinkedPremises/auc:Building/auc:LinkedBuildingID/@IDref = current()/@ID]/auc:ScenarioType/auc:CurrentBuilding/auc:CalculationMethod/auc:Modeled/auc:SimulationCompletionStatus","An auc:Building should be linked to an auc:Scenario[auc:ScenarioType/auc:CurrentBuilding/auc:CalculationMethod/auc:Modeled/auc:SimulationCompletionStatus]","ERROR",""
"","","","","Address Requirements","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Address","false","","","auc:City and auc:State","","ERROR",""
"","","","","ClimateZoneTypes Allowed","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:ClimateZoneType","false","","","auc:ASHRAE or auc:CaliforniaTitle24","","ERROR",""
"","","","","ClimateZone Requirements","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:ClimateZoneType[auc:ASHRAE or auc:CaliforniaTitle24]","false","","","//auc:ClimateZone","","ERROR",""
"","","Space Functions","ASHRAE 211 6.1.1.1.g/5.3.4","Space Functions","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section[auc:SectionType/text() = 'Space function']","true","","","auc:OccupancyClassification","","ERROR",""
"","","","","","","","","","auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Gross']/auc:FloorAreaValue","","ERROR",""
"","","","","","","","","","auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Gross']/auc:FloorAreaValue >= auc:FloorAreas/auc:FloorArea[auc:FloorAreaType/text() = 'Conditioned']/auc:FloorAreaValue","Conditioned floor area cannot be greater than Gross floor area","ERROR",""
"","","","","","","","","","auc:TypicalOccupantUsages/auc:TypicalOccupantUsage[auc:TypicalOccupantUsageUnits/text() = 'Hours per week']/auc:TypicalOccupantUsageValue","","ERROR",""
"","","","","","","","","","auc:TypicalOccupantUsages/auc:TypicalOccupantUsage[auc:TypicalOccupantUsageUnits/text() = 'Weeks per year']/auc:TypicalOccupantUsageValue","","ERROR",""
"","","","","","","","","","auc:OccupancyLevels/auc:OccupancyLevel[auc:OccupantQuantityType/text() = 'Peak total occupants']/auc:OccupantQuantity","","ERROR",""
"","","","","","","","","","//auc:PlugLoad[auc:LinkedPremises/auc:Section/auc:LinkedSectionID/@IDref = current()/@ID]/auc:WeightedAverageLoad","auc:Section[auc:SectionType='Space function'] must have a linked auc:PlugLoad with auc:WeightedAverageLoad","ERROR",""
"","","","","","","","","","//auc:HVACSystem[auc:LinkedPremises/auc:Section/auc:LinkedSectionID/@IDref = current()/@ID]/auc:PrincipalHVACSystemType","auc:Section[auc:SectionType='Space function'] must have a linked auc:HVACSystem/auc:PrincipalHVACSystem","ERROR",""
"","","","","","","","","","//auc:LightingSystem[auc:LinkedPremises/auc:Section/auc:LinkedSectionID/@IDref = current()/@ID]/auc:LampType","auc:Section[auc:SectionType='Space function'] must have a linked auc:LightingSystem with auc:LampType defined","ERROR",""
